Department of Agriculture,,10.056,Farm Storage Facility Loans,"The Farm Storage
Facility Loan (FSFL) Program provides low-","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.069,Conservation Reserve Program,"CRP is a voluntary program which
contracts directly with","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.072,Wetlands Reserve Program,"To assist landowners in restoring and protecting
wetlands on eligible","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.087,Biomass Crop Assistance Program,"The purpose of BCAP is to encourage the
production of biofuels.","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.089,Livestock Forage Disaster Program,"The objective of LFP is to provide financial
assistance from the","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.093,"Voluntary Public Access
and Habitat Incentive Program","The primary objective of
VPA-HIP is to encourage owners and","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.096,Marketing Assistance for Specialty Crops,"MASC will provide eligible specialty crop
producers with","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.097,Water-Saving Commodities Grant,"Water-Savings Conservation Grants
(WSCG) provide","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.098,"Reimbursement
Transportation Cost Payment Program for","The intended goal of
the program is to provide direct","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.099,Conservation Loans,"To provide access to credit for farmers who
need and want to","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.102,Emergency Forest Restoration Program,"The object of EFRP is
to make financial assistance available to","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.108,Livestock Indemnity Program-2014 Farm Bill,"LIP provides benefits to eligible livestock owners
or livestock contract","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.109,Livestock Forage Disaster Program,"LFP provides compensation to eligible
livestock producers that","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.110,"Emergency Assistance
for Livestock, Honeybees and Farm-","ELAP provides financial
assistance to eligible producers of livestock,","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.111,Tree Assistance Program,"TAP provides financial assistance to eligible
orchardists and nursery","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.112,Price Loss Coverage,"The Price Loss Coverage program
(PLC) is carried over","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.113,Agriculture Risk Coverage Program,"The ARC program carried over from the
2014 Farm Bill. The","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.116,The Margin Protection Program,"MPP-Dairy offers a protection plan which
provides payments to","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.120,"2017 Wildfires and
Hurricanes Indemnity Program","The 2017 WHIP is
directly reimbursing producers for crop","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.123,Market Facilitation Program,"MFP provides assistance to producers
with commodities that","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.127,Dairy Margin Coverage,"DMC offers a dairy margin protection plan
which provides","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.128,Heirsâ€™ Property Relending Program,"As specified in 7 U.S.C. 1936c(c), HPRP
provides loan funds to","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.129,"Wildfires and Hurricanes Indemnity
Program Plus","The WHIP Plus is directly reimbursing
producers for crop, tree,","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.130,Coronavirus Food Assistance Program 1,"CFAP provides direct
financial assistance to producers of eligible","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.131,Seafood Trade Relief Program (STRP),"STRP provides payments to eligible
commercial fishermen","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.132,Coronavirus Food Assistance Program 2,"CFAP 2 provides direct financial assistance to
producers of eligible","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.133,Quality Loss Adjustment Program,"The Quality Loss
Adjustment (QLA) Program provides","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.134,Oriental Fruit Fly Program,"The purpose of the Oriental Fruit Fly
Program is to provide","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.135,Supplemental Dairy Margin Coverage,"Supplemental Dairy Margin Coverage
(Supplemental DMC) is","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.138,Pandemic Livestock Indemnity Program,"The Pandemic Livestock Indemnity
Program (PLIP)","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.139,"Organic and Transitional Education
and Certification","OTECP provides direct financial assistance to
certified organic and","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.142,"Food Safety
Certification for Specialty Crops","FSCSC provides direct
financial assistance to eligible specialty crop","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.143,Pandemic Assistance Revenue Program,"PARP provides direct financial support for
eligible producers of","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.144,Spot Market Hog Pandemic Program,"SMHPP provides assistance to producers
that sold hogs through","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.146,"Farm Service Agency Taxpayer Outreach
Education and","The American Rescue Plan Act 2021, H.R.
1319, signed into law","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.147,"Outreach Education and Technical
Assistance","EOTA provides financial assistance to eligible
recipients to perform","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.148,Emergency Livestock Relief Program,"The Emergency
Livestock Relief Program (ELRP)","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.153,Market News,"To provide timely and accurate information on
prices, demand,","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.155,Marketing Agreements and Orders,"Marketing Agreements and Orders are
designed to stabilize","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.156,Federal-State Marketing Improvement Program,"To explore and identify new market
opportunities for U.S.","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.162,Inspection Grading and Standardization,"To develop and apply standards of quality and
condition for agricultural","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.163,Market Protection and Promotion,"The Federal Seed
Program prevents mislabeled seed from","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.164,"Wholesale Farmers and Alternative Market
Development","Wholesale Farmers and Alternative Market
Development works to","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.165,Perishable Agricultural Commodities Act,"To reduce unfair and fraudulent practices in
the marketing of","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.167,Transportation Services,"The Transportation
Services program develops and promotes","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.170,"Specialty Crop Block Grant Program - Farm
Bill","The U.S. Department of Agricultureâ€™s
(USDA) Agricultural","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.171,Organic Certification Cost Share Programs,"The objective of Organic Certification
Cost Share Programs","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.173,"Sheep Production and Marketing Grant
Program","To develop projects that strengthen and
enhance the production","https:/
/
sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.174,Acer Access Development Program,"To support the efforts of such States, tribal
governments, and","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.175,"Farmers Market and
Local Food Promotion Program","The Farmers Market
and Local Food Promotion Program","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.176,Dairy Business Innovation Initiatives,"The Dairy Business Innovation (DBI)
Initiatives connects the","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
Department of Agriculture,,10.177,Regional Food System Partnerships,"RFSP is a component of the Local Agricultural
Marketing Program","https:/
/ sam.g","https:/
/",,,,,,,,,,,,,,
